Processes, Runtimes (s)
1, 4.823961973190308, 4.810954332351685, 4.799516677856445, 4.7870166301727295, 4.7905659675598145, 4.7962868213653564, 4.793667793273926, 4.788661479949951, 4.8002097606658936, 4.8026909828186035
2, 3.7754383087158203, 3.7232439517974854, 3.697713613510132, 3.734083652496338, 3.7307469844818115, 3.7259438037872314, 3.720423698425293, 3.7177376747131348, 3.708198308944702, 3.7137451171875
5, 4.697365760803223, 4.678217172622681, 4.649664878845215, 4.657103061676025, 4.6970741748809814, 4.692794322967529, 4.718243360519409, 4.7013325691223145, 4.659402132034302, 4.669721364974976
10, 4.8613715171813965, 4.8614747524261475, 4.931244850158691, 4.8550286293029785, 4.8848865032196045, 4.830749273300171, 4.827279329299927, 4.853880167007446, 4.8140599727630615, 4.83335018157959
15, 5.120231628417969, 5.116315841674805, 5.249412298202515, 5.134048223495483, 5.164202690124512, 5.169077396392822, 5.142672777175903, 5.189311742782593, 5.1445841789245605, 5.1666600704193115
20, 5.8720691204071045, 5.882260322570801, 5.9584856033325195, 5.802763938903809, 5.809722661972046, 5.872668266296387, 5.898731470108032, 5.896572828292847, 5.955454349517822, 5.834563732147217
25, 6.184289455413818, 6.092613220214844, 6.108915567398071, 6.114189147949219, 6.138795375823975, 6.131478548049927, 6.061168670654297, 6.08926248550415, 6.141451358795166, 6.15891170501709
30, 7.2930378913879395, 7.463984489440918, 9.022063493728638, 7.134707689285278, 7.197227716445923, 7.270239353179932, 7.226546287536621, 7.160996675491333, 7.126899719238281, 7.668274879455566
35, 7.754321336746216, 7.728125095367432, 7.822208404541016, 7.766952037811279, 7.818256616592407, 7.753525733947754, 7.707124948501587, 7.730771064758301, 7.73642635345459, 7.746692180633545
40, 13.091250658035278, 13.063137769699097, 12.906398296356201, 13.083674430847168, 13.115512132644653, 12.931871891021729, 13.120377540588379, 13.14363956451416, 13.049117088317871, 13.128063678741455
45, 14.122435092926025, 14.195066452026367, 14.239776611328125, 14.055824756622314, 14.206066370010376, 14.272538900375366, 14.015931129455566, 14.186167240142822, 14.112305879592896, 14.017481327056885
50, 15.938596248626709, 15.958559513092041, 16.154836654663086, 15.744314908981323, 16.133524894714355, 15.92692494392395, 16.3127658367157, 16.482038736343384, 15.81899380683899, 16.01508092880249
